run_id,method,N,depth,seed,theta_path,iter_csv,optimizer_name,shots
65f6a5e6,tr_correct_sampling,49,6,0,bench_tsp_shot_diff_49_real/theta_65f6a5e6.pt,bench_tsp_shot_diff_49_real/iter_65f6a5e6.csv,RMSprop_003,1000
2cdea0d8,tr_efficient,49,6,0,bench_tsp_shot_diff_49_real/theta_2cdea0d8.pt,bench_tsp_shot_diff_49_real/iter_2cdea0d8.csv,RMSprop_003,1000
a86cce2d,tr_efficient,49,6,1,bench_tsp_shot_diff_49_real/theta_a86cce2d.pt,bench_tsp_shot_diff_49_real/iter_a86cce2d.csv,RMSprop_003,1000
b0c56cca,tr_correct_sampling,49,6,1,bench_tsp_shot_diff_49_real/theta_b0c56cca.pt,bench_tsp_shot_diff_49_real/iter_b0c56cca.csv,RMSprop_003,1000
fba8a13d,tr_efficient,49,6,2,bench_tsp_shot_diff_49_real/theta_fba8a13d.pt,bench_tsp_shot_diff_49_real/iter_fba8a13d.csv,RMSprop_003,1000
3a4365f9,tr_correct_sampling,49,6,2,bench_tsp_shot_diff_49_real/theta_3a4365f9.pt,bench_tsp_shot_diff_49_real/iter_3a4365f9.csv,RMSprop_003,1000
637beaa9,tr_efficient,49,5,0,bench_tsp_shot_diff_49_real/theta_637beaa9.pt,bench_tsp_shot_diff_49_real/iter_637beaa9.csv,RMSprop_003,1000
a4a4ddb7,tr_correct_sampling,49,5,0,bench_tsp_shot_diff_49_real/theta_a4a4ddb7.pt,bench_tsp_shot_diff_49_real/iter_a4a4ddb7.csv,RMSprop_003,1000
10658fdc,tr_efficient,49,5,1,bench_tsp_shot_diff_49_real/theta_10658fdc.pt,bench_tsp_shot_diff_49_real/iter_10658fdc.csv,RMSprop_003,1000
f139fe7e,tr_correct_sampling,49,5,1,bench_tsp_shot_diff_49_real/theta_f139fe7e.pt,bench_tsp_shot_diff_49_real/iter_f139fe7e.csv,RMSprop_003,1000
6f49d0cb,tr_efficient,49,5,2,bench_tsp_shot_diff_49_real/theta_6f49d0cb.pt,bench_tsp_shot_diff_49_real/iter_6f49d0cb.csv,RMSprop_003,1000
e8994cc7,tr_correct_sampling,49,5,2,bench_tsp_shot_diff_49_real/theta_e8994cc7.pt,bench_tsp_shot_diff_49_real/iter_e8994cc7.csv,RMSprop_003,1000
647b7978,tr_efficient,49,4,0,bench_tsp_shot_diff_49_real/theta_647b7978.pt,bench_tsp_shot_diff_49_real/iter_647b7978.csv,RMSprop_003,1000
5bd90347,tr_correct_sampling,49,4,0,bench_tsp_shot_diff_49_real/theta_5bd90347.pt,bench_tsp_shot_diff_49_real/iter_5bd90347.csv,RMSprop_003,1000
ac5c3b64,tr_efficient,49,4,1,bench_tsp_shot_diff_49_real/theta_ac5c3b64.pt,bench_tsp_shot_diff_49_real/iter_ac5c3b64.csv,RMSprop_003,1000
db3dfb79,tr_correct_sampling,49,4,1,bench_tsp_shot_diff_49_real/theta_db3dfb79.pt,bench_tsp_shot_diff_49_real/iter_db3dfb79.csv,RMSprop_003,1000
