iter,exp_value,best_result,iter_time,max_memory
0,203.2553,"""0010000111110111101001100010111010101000011010100010""",15.890965700149536,71480832
1,201.03990000000002,"""1010000111110100001001100010110101010111100101001101""",15.97294282913208,71480832
2,199.0841,"""1010000111110100001001100010110101010111100101001101""",15.892361402511597,71480832
3,196.56490000000002,"""1010000111110100001001100010110101010111100101001101""",15.792296171188354,71480832
4,194.24120000000002,"""0010000111110100001001100010110101010111100110110010""",15.8446946144104,71480832
5,191.70080000000002,"""0010000111110100001001100010101010101000011001001110""",15.886000394821167,71480832
6,187.9759,"""1010000111110100001001100010101010101001100110110001""",16.0825936794281,71480832
7,183.89690000000002,"""1010000111110100001001100010101010101001100110110001""",15.864316701889038,71480832
8,178.78060000000002,"""1010000111110100001001100010101010101001100110110001""",15.960028886795044,71480832
9,173.1646,"""0010000111110100001001100010101010101001100110101110""",15.875783443450928,71480832
