iter,exp_value,best_result,iter_time,max_memory
0,202.7435302734375,"""0010000111110111101110011101000101010101111011000010""",1.6751923561096191,319261184
1,199.28048706054688,"""0010000111110100101110011101000101010110000100100010""",1.6710424423217773,319261184
2,195.81808471679688,"""0101111000001011010001100010111010101001111011011110""",1.703643798828125,319261184
3,191.00558471679688,"""0011111000001011010001100010111010101001111011011110""",1.672367811203003,319261184
4,184.7741241455078,"""1011111000001011010001100010111010101001111011011101""",1.6692850589752197,319261184
