graph_id,N,depth,seed,method,exp_value
N4_S2,4,9,2,tr_sampling,17.784700393676758
N4_S2,4,9,2,tr_correct_sampling,17.2667
N4_S3,4,1,3,sv,9.179614622710337
N4_S3,4,1,3,tr_expectation,9.179617881774902
N4_S3,4,1,3,tr_sampling,7.568399906158447
N4_S3,4,1,3,tr_correct_sampling,9.1753
N4_S3,4,2,3,sv,12.074343555722285
N4_S3,4,2,3,tr_expectation,12.07447338104248
N4_S3,4,2,3,tr_sampling,11.392600059509277
N4_S3,4,2,3,tr_correct_sampling,12.0128
N4_S3,4,3,3,sv,12.119640470789534
N4_S3,4,3,3,tr_expectation,12.130142211914062
N4_S3,4,3,3,tr_sampling,10.574299812316895
N4_S3,4,3,3,tr_correct_sampling,12.0378
N4_S3,4,4,3,sv,9.437275213992146
N4_S3,4,4,3,tr_expectation,5.657565116882324
N4_S3,4,4,3,tr_sampling,10.07859992980957
N4_S3,4,4,3,tr_correct_sampling,7.7801
N4_S3,4,5,3,sv,10.559082928160414
N4_S3,4,5,3,tr_expectation,4.6321821212768555
N4_S3,4,5,3,tr_sampling,10.47819995880127
N4_S3,4,5,3,tr_correct_sampling,10.810500000000001
N4_S3,4,6,3,sv,10.009337555804041
N4_S3,4,6,3,tr_expectation,2.1267192363739014
N4_S3,4,6,3,tr_sampling,10.467399597167969
N4_S3,4,6,3,tr_correct_sampling,10.5474
N4_S3,4,7,3,sv,11.17697547990536
N4_S3,4,7,3,tr_expectation,1.6141222715377808
N4_S3,4,7,3,tr_sampling,10.450399398803711
N4_S3,4,7,3,tr_correct_sampling,9.368500000000001
N4_S3,4,8,3,sv,11.320286097023864
N4_S3,4,8,3,tr_expectation,1.0361143350601196
N4_S3,4,8,3,tr_sampling,10.235799789428711
N4_S3,4,8,3,tr_correct_sampling,12.0618
N4_S3,4,9,3,sv,10.289340886517307
N4_S3,4,9,3,tr_expectation,0.8147020936012268
N4_S3,4,9,3,tr_sampling,10.542399406433105
N4_S3,4,9,3,tr_correct_sampling,10.559800000000001
N4_S4,4,1,4,sv,16.60517617486131
N4_S4,4,1,4,tr_expectation,16.60512924194336
N4_S4,4,1,4,tr_sampling,15.71929931640625
N4_S4,4,1,4,tr_correct_sampling,16.6613
N4_S4,4,2,4,sv,18.619161339079238
N4_S4,4,2,4,tr_expectation,18.619216918945312
N4_S4,4,2,4,tr_sampling,19.203100204467773
N4_S4,4,2,4,tr_correct_sampling,18.663600000000002
N4_S4,4,3,4,sv,22.510331604437894
N4_S4,4,3,4,tr_expectation,22.539308547973633
N4_S4,4,3,4,tr_sampling,18.67879867553711
N4_S4,4,3,4,tr_correct_sampling,22.4155
N4_S4,4,4,4,sv,19.801582788748643
N4_S4,4,4,4,tr_expectation,18.909502029418945
N4_S4,4,4,4,tr_sampling,18.76369857788086
N4_S4,4,4,4,tr_correct_sampling,19.1198
N4_S4,4,5,4,sv,24.681824801983254
N4_S4,4,5,4,tr_expectation,12.489178657531738
N4_S4,4,5,4,tr_sampling,18.80340003967285
N4_S4,4,5,4,tr_correct_sampling,17.4271
N4_S4,4,6,4,sv,18.11535952690348
N4_S4,4,6,4,tr_expectation,5.118748664855957
N4_S4,4,6,4,tr_sampling,18.80579948425293
N4_S4,4,6,4,tr_correct_sampling,16.0393
N4_S4,4,7,4,sv,18.4896854069525
N4_S4,4,7,4,tr_expectation,3.4473884105682373
N4_S4,4,7,4,tr_sampling,19.13909912109375
N4_S4,4,7,4,tr_correct_sampling,19.314
N4_S4,4,8,4,sv,21.072864285185247
N4_S4,4,8,4,tr_expectation,1.6143200397491455
N4_S4,4,8,4,tr_sampling,18.98390007019043
N4_S4,4,8,4,tr_correct_sampling,18.4222
N4_S4,4,9,4,sv,20.648242497622366
N4_S4,4,9,4,tr_expectation,1.1409941911697388
N4_S4,4,9,4,tr_sampling,18.00149917602539
N4_S4,4,9,4,tr_correct_sampling,17.8853
N4_S5,4,1,5,sv,13.779555554522961
N4_S5,4,1,5,tr_expectation,13.77956771850586
N4_S5,4,1,5,tr_sampling,14.601499557495117
N4_S5,4,1,5,tr_correct_sampling,13.8107
N4_S5,4,2,5,sv,13.51358269613211
N4_S5,4,2,5,tr_expectation,13.513734817504883
N4_S5,4,2,5,tr_sampling,15.24370002746582
N4_S5,4,2,5,tr_correct_sampling,13.4551
N4_S5,4,3,5,sv,13.90804719959999
N4_S5,4,3,5,tr_expectation,14.016327857971191
N4_S5,4,3,5,tr_sampling,16.60719871520996
N4_S5,4,3,5,tr_correct_sampling,13.966000000000001
N4_S5,4,4,5,sv,12.458208727785994
N4_S5,4,4,5,tr_expectation,12.569015502929688
N4_S5,4,4,5,tr_sampling,17.245399475097656
N4_S5,4,4,5,tr_correct_sampling,14.7727
N4_S5,4,5,5,sv,18.03713528381999
N4_S5,4,5,5,tr_expectation,9.707388877868652
N4_S5,4,5,5,tr_sampling,16.30270004272461
N4_S5,4,5,5,tr_correct_sampling,18.5191
N4_S5,4,6,5,sv,17.110916120032385
N4_S5,4,6,5,tr_expectation,4.7079362869262695
N4_S5,4,6,5,tr_sampling,16.472700119018555
N4_S5,4,6,5,tr_correct_sampling,13.836400000000001
N4_S5,4,7,5,sv,13.815018604144035
N4_S5,4,7,5,tr_expectation,4.083946704864502
N4_S5,4,7,5,tr_sampling,16.034299850463867
N4_S5,4,7,5,tr_correct_sampling,17.1634
N4_S5,4,8,5,sv,21.03371357669026
N4_S5,4,8,5,tr_expectation,2.0879404544830322
N4_S5,4,8,5,tr_sampling,16.270700454711914
N4_S5,4,8,5,tr_correct_sampling,16.614
N4_S5,4,9,5,sv,18.394978570298623
N4_S5,4,9,5,tr_expectation,1.346776008605957
N4_S5,4,9,5,tr_sampling,17.024900436401367
N4_S5,4,9,5,tr_correct_sampling,15.038
N4_S6,4,1,6,sv,10.943446157262995
N4_S6,4,1,6,tr_expectation,10.94345760345459
N4_S6,4,1,6,tr_sampling,11.243599891662598
N4_S6,4,1,6,tr_correct_sampling,10.9448
N4_S6,4,2,6,sv,11.152543167976358
N4_S6,4,2,6,tr_expectation,11.152595520019531
N4_S6,4,2,6,tr_sampling,14.696399688720703
N4_S6,4,2,6,tr_correct_sampling,11.1426
N4_S6,4,3,6,sv,14.792782639726882
N4_S6,4,3,6,tr_expectation,14.793106079101562
N4_S6,4,3,6,tr_sampling,14.042999267578125
N4_S6,4,3,6,tr_correct_sampling,14.746500000000001
N4_S6,4,4,6,sv,11.481531991830465
N4_S6,4,4,6,tr_expectation,12.113655090332031
N4_S6,4,4,6,tr_sampling,14.047699928283691
N4_S6,4,4,6,tr_correct_sampling,12.0609
N4_S6,4,5,6,sv,12.473519652035092
N4_S6,4,5,6,tr_expectation,8.876818656921387
N4_S6,4,5,6,tr_sampling,13.841099739074707
