run_id,library,N,depth,seed,theta_path,iter_csv
f43b3d18,tensorcircuit_full,4,3,0,bench_out_comparison_cpu_real/theta_f43b3d18.pt,bench_out_comparison_cpu_real/iter_f43b3d18.csv
66b6464f,tensorcircuit_mps,4,3,0,bench_out_comparison_cpu_real/theta_66b6464f.pt,bench_out_comparison_cpu_real/iter_66b6464f.csv
c6b2f7ac,pennylane_default:default.qubit,4,3,0,bench_out_comparison_cpu_real/theta_c6b2f7ac.pt,bench_out_comparison_cpu_real/iter_c6b2f7ac.csv
c5e4e618,pennylane_lightning:lightning.qubit,4,3,0,bench_out_comparison_cpu_real/theta_c5e4e618.pt,bench_out_comparison_cpu_real/iter_c5e4e618.csv
747de27d,qiskit_mps:mps,4,3,0,bench_out_comparison_cpu_real/theta_747de27d.pt,bench_out_comparison_cpu_real/iter_747de27d.csv
e3d8fbff,quimb:mps,4,3,0,bench_out_comparison_cpu_real/theta_e3d8fbff.pt,bench_out_comparison_cpu_real/iter_e3d8fbff.csv
01ce042f,tensorcircuit_full,8,3,0,bench_out_comparison_cpu_real/theta_01ce042f.pt,bench_out_comparison_cpu_real/iter_01ce042f.csv
16cf154d,tensorcircuit_mps,8,3,0,bench_out_comparison_cpu_real/theta_16cf154d.pt,bench_out_comparison_cpu_real/iter_16cf154d.csv
6b385f4d,pennylane_default:default.qubit,8,3,0,bench_out_comparison_cpu_real/theta_6b385f4d.pt,bench_out_comparison_cpu_real/iter_6b385f4d.csv
75f08628,pennylane_lightning:lightning.qubit,8,3,0,bench_out_comparison_cpu_real/theta_75f08628.pt,bench_out_comparison_cpu_real/iter_75f08628.csv
5be6acd2,qiskit_mps:mps,8,3,0,bench_out_comparison_cpu_real/theta_5be6acd2.pt,bench_out_comparison_cpu_real/iter_5be6acd2.csv
55db5c05,quimb:mps,8,3,0,bench_out_comparison_cpu_real/theta_55db5c05.pt,bench_out_comparison_cpu_real/iter_55db5c05.csv
b13ac8fa,tensorcircuit_full,16,3,0,bench_out_comparison_cpu_real/theta_b13ac8fa.pt,bench_out_comparison_cpu_real/iter_b13ac8fa.csv
8863fdba,tensorcircuit_mps,16,3,0,bench_out_comparison_cpu_real/theta_8863fdba.pt,bench_out_comparison_cpu_real/iter_8863fdba.csv
e03bccd7,pennylane_default:default.qubit,16,3,0,bench_out_comparison_cpu_real/theta_e03bccd7.pt,bench_out_comparison_cpu_real/iter_e03bccd7.csv
3843e14d,pennylane_lightning:lightning.qubit,16,3,0,bench_out_comparison_cpu_real/theta_3843e14d.pt,bench_out_comparison_cpu_real/iter_3843e14d.csv
de0be945,qiskit_mps:mps,16,3,0,bench_out_comparison_cpu_real/theta_de0be945.pt,bench_out_comparison_cpu_real/iter_de0be945.csv
bfb1a64a,tensorcircuit_full,24,3,0,bench_out_comparison_cpu_real/theta_bfb1a64a.pt,bench_out_comparison_cpu_real/iter_bfb1a64a.csv
f4dbb40b,tensorcircuit_mps,24,3,0,bench_out_comparison_cpu_real/theta_f4dbb40b.pt,bench_out_comparison_cpu_real/iter_f4dbb40b.csv
