run_id,method,N,depth,seed,theta_path,iter_csv
dec13e95,sv,4,1,0,bench_tsp_4816/theta_dec13e95.pt,bench_tsp_4816/iter_dec13e95.csv
5094bf50,tr_correct_sampling,4,1,0,bench_tsp_4816/theta_5094bf50.pt,bench_tsp_4816/iter_5094bf50.csv
f9099a0b,tr_efficient,4,1,0,bench_tsp_4816/theta_f9099a0b.pt,bench_tsp_4816/iter_f9099a0b.csv
d46f5928,sv,4,1,1,bench_tsp_4816/theta_d46f5928.pt,bench_tsp_4816/iter_d46f5928.csv
442e01b8,tr_correct_sampling,4,1,1,bench_tsp_4816/theta_442e01b8.pt,bench_tsp_4816/iter_442e01b8.csv
4df967d8,tr_efficient,4,1,1,bench_tsp_4816/theta_4df967d8.pt,bench_tsp_4816/iter_4df967d8.csv
ee5ded7e,sv,4,1,2,bench_tsp_4816/theta_ee5ded7e.pt,bench_tsp_4816/iter_ee5ded7e.csv
f965daa6,tr_correct_sampling,4,1,2,bench_tsp_4816/theta_f965daa6.pt,bench_tsp_4816/iter_f965daa6.csv
22bae720,tr_efficient,4,1,2,bench_tsp_4816/theta_22bae720.pt,bench_tsp_4816/iter_22bae720.csv
6ae1730d,sv,4,3,0,bench_tsp_4816/theta_6ae1730d.pt,bench_tsp_4816/iter_6ae1730d.csv
2631684a,tr_correct_sampling,4,3,0,bench_tsp_4816/theta_2631684a.pt,bench_tsp_4816/iter_2631684a.csv
e117ced5,tr_efficient,4,3,0,bench_tsp_4816/theta_e117ced5.pt,bench_tsp_4816/iter_e117ced5.csv
138bf239,sv,4,3,1,bench_tsp_4816/theta_138bf239.pt,bench_tsp_4816/iter_138bf239.csv
0212299c,tr_correct_sampling,4,3,1,bench_tsp_4816/theta_0212299c.pt,bench_tsp_4816/iter_0212299c.csv
6d13352e,tr_efficient,4,3,1,bench_tsp_4816/theta_6d13352e.pt,bench_tsp_4816/iter_6d13352e.csv
3f794461,sv,4,3,2,bench_tsp_4816/theta_3f794461.pt,bench_tsp_4816/iter_3f794461.csv
ae377465,tr_correct_sampling,4,3,2,bench_tsp_4816/theta_ae377465.pt,bench_tsp_4816/iter_ae377465.csv
030e5f1d,tr_efficient,4,3,2,bench_tsp_4816/theta_030e5f1d.pt,bench_tsp_4816/iter_030e5f1d.csv
be45b28d,sv,4,5,0,bench_tsp_4816/theta_be45b28d.pt,bench_tsp_4816/iter_be45b28d.csv
2900a135,tr_correct_sampling,4,5,0,bench_tsp_4816/theta_2900a135.pt,bench_tsp_4816/iter_2900a135.csv
d8107a96,tr_efficient,4,5,0,bench_tsp_4816/theta_d8107a96.pt,bench_tsp_4816/iter_d8107a96.csv
0378c7d4,sv,4,5,1,bench_tsp_4816/theta_0378c7d4.pt,bench_tsp_4816/iter_0378c7d4.csv
a5461ebb,tr_correct_sampling,4,5,1,bench_tsp_4816/theta_a5461ebb.pt,bench_tsp_4816/iter_a5461ebb.csv
370e0e18,tr_efficient,4,5,1,bench_tsp_4816/theta_370e0e18.pt,bench_tsp_4816/iter_370e0e18.csv
607ccb71,sv,4,5,2,bench_tsp_4816/theta_607ccb71.pt,bench_tsp_4816/iter_607ccb71.csv
7b94070f,tr_correct_sampling,4,5,2,bench_tsp_4816/theta_7b94070f.pt,bench_tsp_4816/iter_7b94070f.csv
fadbe9c4,tr_efficient,4,5,2,bench_tsp_4816/theta_fadbe9c4.pt,bench_tsp_4816/iter_fadbe9c4.csv
3f1dca65,sv,9,1,0,bench_tsp_4816/theta_3f1dca65.pt,bench_tsp_4816/iter_3f1dca65.csv
05b2681e,tr_correct_sampling,9,1,0,bench_tsp_4816/theta_05b2681e.pt,bench_tsp_4816/iter_05b2681e.csv
7ec8c7b5,tr_efficient,9,1,0,bench_tsp_4816/theta_7ec8c7b5.pt,bench_tsp_4816/iter_7ec8c7b5.csv
b3cd28dd,sv,9,1,1,bench_tsp_4816/theta_b3cd28dd.pt,bench_tsp_4816/iter_b3cd28dd.csv
fa35c775,tr_correct_sampling,9,1,1,bench_tsp_4816/theta_fa35c775.pt,bench_tsp_4816/iter_fa35c775.csv
b6ccbe3c,tr_efficient,9,1,1,bench_tsp_4816/theta_b6ccbe3c.pt,bench_tsp_4816/iter_b6ccbe3c.csv
d95ba1f5,sv,9,1,2,bench_tsp_4816/theta_d95ba1f5.pt,bench_tsp_4816/iter_d95ba1f5.csv
96f41f0b,tr_correct_sampling,9,1,2,bench_tsp_4816/theta_96f41f0b.pt,bench_tsp_4816/iter_96f41f0b.csv
c65c4b56,tr_efficient,9,1,2,bench_tsp_4816/theta_c65c4b56.pt,bench_tsp_4816/iter_c65c4b56.csv
2b4bc5e3,sv,9,3,0,bench_tsp_4816/theta_2b4bc5e3.pt,bench_tsp_4816/iter_2b4bc5e3.csv
06859720,tr_correct_sampling,9,3,0,bench_tsp_4816/theta_06859720.pt,bench_tsp_4816/iter_06859720.csv
d0e414dd,tr_efficient,9,3,0,bench_tsp_4816/theta_d0e414dd.pt,bench_tsp_4816/iter_d0e414dd.csv
2b642562,sv,9,3,1,bench_tsp_4816/theta_2b642562.pt,bench_tsp_4816/iter_2b642562.csv
2b3ffd6e,tr_correct_sampling,9,3,1,bench_tsp_4816/theta_2b3ffd6e.pt,bench_tsp_4816/iter_2b3ffd6e.csv
af9e4ee9,tr_efficient,9,3,1,bench_tsp_4816/theta_af9e4ee9.pt,bench_tsp_4816/iter_af9e4ee9.csv
f26f00dd,sv,9,3,2,bench_tsp_4816/theta_f26f00dd.pt,bench_tsp_4816/iter_f26f00dd.csv
735b5af7,tr_correct_sampling,9,3,2,bench_tsp_4816/theta_735b5af7.pt,bench_tsp_4816/iter_735b5af7.csv
352a3ba0,tr_efficient,9,3,2,bench_tsp_4816/theta_352a3ba0.pt,bench_tsp_4816/iter_352a3ba0.csv
23ecdb21,sv,9,5,0,bench_tsp_4816/theta_23ecdb21.pt,bench_tsp_4816/iter_23ecdb21.csv
02f85369,tr_correct_sampling,9,5,0,bench_tsp_4816/theta_02f85369.pt,bench_tsp_4816/iter_02f85369.csv
569717d9,tr_efficient,9,5,0,bench_tsp_4816/theta_569717d9.pt,bench_tsp_4816/iter_569717d9.csv
7b40ab96,sv,9,5,1,bench_tsp_4816/theta_7b40ab96.pt,bench_tsp_4816/iter_7b40ab96.csv
cc23378e,tr_correct_sampling,9,5,1,bench_tsp_4816/theta_cc23378e.pt,bench_tsp_4816/iter_cc23378e.csv
1de69786,tr_efficient,9,5,1,bench_tsp_4816/theta_1de69786.pt,bench_tsp_4816/iter_1de69786.csv
0e8b3369,sv,9,5,2,bench_tsp_4816/theta_0e8b3369.pt,bench_tsp_4816/iter_0e8b3369.csv
73ce5b18,tr_correct_sampling,9,5,2,bench_tsp_4816/theta_73ce5b18.pt,bench_tsp_4816/iter_73ce5b18.csv
51034f0e,tr_efficient,9,5,2,bench_tsp_4816/theta_51034f0e.pt,bench_tsp_4816/iter_51034f0e.csv
62d5479a,tr_correct_sampling,16,1,0,bench_tsp_4816/theta_62d5479a.pt,bench_tsp_4816/iter_62d5479a.csv
9f873cae,tr_efficient,16,1,0,bench_tsp_4816/theta_9f873cae.pt,bench_tsp_4816/iter_9f873cae.csv
27a3e231,tr_correct_sampling,16,1,1,bench_tsp_4816/theta_27a3e231.pt,bench_tsp_4816/iter_27a3e231.csv
