iter,exp_value,best_result,iter_time
0,202.61244201660156,"""1000100111111111110001111100100101001110110011111100""",1.4719383716583252
1,198.9775390625,"""0000111000000000001111111100100101001110110011111101""",1.4707996845245361
2,194.2035675048828,"""1000111000000000001111111100100101001110110011111100""",1.4849867820739746
3,188.22952270507812,"""1000111000000000001111111100100101001110110011111100""",1.486480474472046
4,181.87057495117188,"""1111000111111111110000000011011010110001001100000011""",1.4870874881744385
5,175.220703125,"""1111000111111111110000000011011010110001001100000011""",1.490483283996582
6,168.86477661132812,"""1111000111111111110000000011011010110001001100000011""",1.4872372150421143
7,163.8629608154297,"""0110111000000000001111111100100101001110110011111100""",1.4853856563568115
8,160.36370849609375,"""0110111000000000001111111100100101001110110011111100""",1.4859066009521484
9,157.8895263671875,"""0110111000000000001111111100100101001110110011111100""",1.4863700866699219
10,156.06961059570312,"""0110111000000000001111111100100101001110110011111100""",1.4868786334991455
11,154.82997131347656,"""0110111000000000001111111100100101001110110011111100""",1.473888874053955
12,153.81268310546875,"""0110111000000000001111111100100101001110110011111100""",1.4795951843261719
13,153.0053253173828,"""0110111000000000001111111100100101001110110011111100""",1.4848268032073975
14,152.47216796875,"""0001000111111111110000000011011010110001001100000011""",1.4787757396697998
15,152.1661834716797,"""0001000111111111110000000011011010110001001100000011""",1.4775056838989258
16,151.6767120361328,"""0001000111111111110000000011011010110001001100000011""",1.4784393310546875
17,151.22421264648438,"""0001000111111111110000000011011010110001001100000011""",1.4770684242248535
18,150.9361572265625,"""0001000111111111110000000011011010110001001100000011""",1.4775950908660889
19,150.5609588623047,"""0001000111111111110000000011011010110001001100000011""",1.4747021198272705
20,150.29608154296875,"""0001000111111111110000000011011010110001001100000011""",1.4713501930236816
21,150.1272430419922,"""0001000111111111110000000011011010110001001100000011""",1.4619989395141602
22,150.0271453857422,"""0001000111111111110000000011011010110001001100000011""",1.4724860191345215
23,149.8897705078125,"""0001000111111111110000000011011010110001001100000011""",1.472973108291626
24,149.7471923828125,"""0001000111111111110000000011011010110001001100000011""",1.4723048210144043
25,149.62916564941406,"""0001000111111111110000000011011010110001001100000011""",1.47041654586792
26,149.55001831054688,"""0001000111111111110000000011011010110001001100000011""",1.4700217247009277
27,149.5290069580078,"""0001000111111111110000000011011010110001001100000011""",1.4695098400115967
28,149.4641571044922,"""0001000111111111110000000011011010110001001100000011""",1.470170497894287
29,149.38946533203125,"""0001000111111111110000000011011010110001001100000011""",1.4704959392547607
30,149.34506225585938,"""0001000111111111110000000011011010110001001100000011""",1.470226526260376
31,149.3213653564453,"""0001000111111111110000000011011010110001001100000011""",1.4593591690063477
32,149.30386352539062,"""0001000111111111110000000011011010110001001100000011""",1.4663679599761963
33,149.2993927001953,"""0001000111111111110000000011011010110001001100000011""",1.4665467739105225
34,149.31878662109375,"""0001000111111111110000000011011010110001001100000011""",1.4660820960998535
35,149.37110900878906,"""0001000111111111110000000011011010110001001100000011""",1.467841625213623
36,149.38998413085938,"""0001000111111111110000000011011010110001001100000011""",1.4687347412109375
37,149.3651885986328,"""0001000111111111110000000011011010110001001100000011""",1.4691503047943115
38,149.35223388671875,"""0001000111111111110000000011011010110001001100000011""",1.471024751663208
39,149.35549926757812,"""0001000111111111110000000011011010110001001100000011""",1.4687442779541016
40,149.33905029296875,"""0001000111111111110000000011011010110001001100000011""",1.4678003787994385
41,149.2871551513672,"""0001000111111111110000000011011010110001001100000011""",1.45585036277771
42,149.2325439453125,"""0001000111111111110000000011011010110001001100000011""",1.4696509838104248
43,149.2044219970703,"""0001000111111111110000000011011010110001001100000011""",1.471557855606079
