graph_id,N,depth,seed,method,exp_value
0,4,3,0,sv,20.2275634743509
0,4,3,0,tr_expectation,20.22795867919922
0,4,3,0,tr_sampling,16.82849884033203
0,4,3,0,tr_correct_sampling,20.3155
0,4,4,0,sv,20.265591744761167
0,4,4,0,tr_expectation,15.39786434173584
0,4,4,0,tr_sampling,16.39659881591797
0,4,4,0,tr_correct_sampling,18.0806
0,4,5,0,sv,16.704774302450186
0,4,5,0,tr_expectation,6.6270833015441895
0,4,5,0,tr_sampling,16.108200073242188
0,4,5,0,tr_correct_sampling,14.5862
0,4,6,0,sv,18.181043816129698
0,4,6,0,tr_expectation,3.5032098293304443
0,4,6,0,tr_sampling,17.137300491333008
0,4,6,0,tr_correct_sampling,15.588600000000001
0,4,7,0,sv,17.2007186809432
0,4,7,0,tr_expectation,2.709446668624878
0,4,7,0,tr_sampling,17.09160041809082
0,4,7,0,tr_correct_sampling,19.207900000000002
0,4,8,0,sv,18.310994899260763
0,4,8,0,tr_expectation,1.0439146757125854
0,4,8,0,tr_sampling,16.243398666381836
0,4,8,0,tr_correct_sampling,15.404900000000001
0,4,9,0,sv,17.477586339896177
0,4,9,0,tr_expectation,0.6989724636077881
0,4,9,0,tr_sampling,16.322399139404297
0,4,9,0,tr_correct_sampling,17.672900000000002
1,8,1,0,sv,33.39896807661391
1,8,1,0,tr_expectation,33.39882278442383
1,8,1,0,tr_sampling,35.57529830932617
1,8,1,0,tr_correct_sampling,33.3788
1,8,2,0,sv,32.58184267416671
1,8,2,0,tr_expectation,32.58184051513672
1,8,2,0,tr_sampling,33.514801025390625
1,8,2,0,tr_correct_sampling,32.4523
1,8,3,0,sv,33.047958042975246
1,8,3,0,tr_expectation,33.07838439941406
1,8,3,0,tr_sampling,32.69070053100586
1,8,3,0,tr_correct_sampling,32.8093
1,8,4,0,sv,32.70863522143293
1,8,4,0,tr_expectation,25.570100784301758
1,8,4,0,tr_sampling,32.676300048828125
1,8,4,0,tr_correct_sampling,32.85
1,8,5,0,sv,32.818018775016625
1,8,5,0,tr_expectation,10.482858657836914
1,8,5,0,tr_sampling,31.87649917602539
1,8,5,0,tr_correct_sampling,32.5097
1,8,6,0,sv,32.76107997118755
1,8,6,0,tr_expectation,3.2510690689086914
1,8,6,0,tr_sampling,33.09299850463867
1,8,6,0,tr_correct_sampling,33.2676
1,8,7,0,sv,32.78650343766329
1,8,7,0,tr_expectation,0.9757067561149597
1,8,7,0,tr_sampling,32.9390983581543
1,8,7,0,tr_correct_sampling,32.5496
1,8,8,0,sv,33.112387447721744
1,8,8,0,tr_expectation,0.2662726044654846
1,8,8,0,tr_sampling,32.55820083618164
1,8,8,0,tr_correct_sampling,31.0696
1,8,9,0,sv,32.12373935926222
1,8,9,0,tr_expectation,0.09538150578737259
1,8,9,0,tr_sampling,31.818099975585938
1,8,9,0,tr_correct_sampling,31.617500000000003
2,16,1,0,sv,71.28649094367854
2,16,1,0,tr_expectation,71.2857894897461
2,16,1,0,tr_sampling,69.58719635009766
2,16,1,0,tr_correct_sampling,71.3657
2,16,2,0,sv,65.4505027891696
2,16,2,0,tr_expectation,65.4502944946289
2,16,2,0,tr_sampling,64.4490966796875
2,16,2,0,tr_correct_sampling,65.5072
2,16,3,0,sv,64.57455599097885
2,16,3,0,tr_expectation,64.36474609375
2,16,3,0,tr_sampling,66.28829956054688
2,16,3,0,tr_correct_sampling,64.8065
2,16,4,0,sv,64.93952788541333
2,16,4,0,tr_expectation,49.528831481933594
2,16,4,0,tr_sampling,65.00180053710938
2,16,4,0,tr_correct_sampling,64.6564
2,16,5,0,sv,64.87645326690895
2,16,5,0,tr_expectation,21.253618240356445
2,16,5,0,tr_sampling,65.14099884033203
2,16,5,0,tr_correct_sampling,65.0258
2,16,6,0,sv,64.84833887643295
2,16,6,0,tr_expectation,3.408414363861084
2,16,6,0,tr_sampling,65.4635009765625
2,16,6,0,tr_correct_sampling,65.3283
2,16,7,0,sv,65.21334228529885
2,16,7,0,tr_expectation,0.3728054165840149
2,16,7,0,tr_sampling,65.2813949584961
2,16,7,0,tr_correct_sampling,65.4787
2,16,8,0,sv,64.96540523053771
2,16,8,0,tr_expectation,0.03677360340952873
2,16,8,0,tr_sampling,64.36149597167969
2,16,8,0,tr_correct_sampling,64.5733
2,16,9,0,sv,64.87110613826853
2,16,9,0,tr_expectation,0.0037165225949138403
2,16,9,0,tr_sampling,65.4375991821289
2,16,9,0,tr_correct_sampling,65.2878
3,24,1,0,sv,82.48060589101462
3,24,1,0,tr_expectation,82.48009490966797
3,24,1,0,tr_sampling,82.51490020751953
3,24,1,0,tr_correct_sampling,82.759
3,24,2,0,sv,85.73110196167329
3,24,2,0,tr_expectation,85.73235321044922
3,24,2,0,tr_sampling,85.69670104980469
3,24,2,0,tr_correct_sampling,85.7489
3,24,3,0,sv,86.5215381115055
3,24,3,0,tr_expectation,86.46573638916016
3,24,3,0,tr_sampling,86.2791976928711
3,24,3,0,tr_correct_sampling,86.6449
3,24,4,0,sv,86.84681638742855
3,24,4,0,tr_expectation,48.983238220214844
3,24,4,0,tr_sampling,87.05089569091797
3,24,4,0,tr_correct_sampling,87.0316
