run_id,method,N,depth,seed,theta_path,iter_csv
732d6f38,tr_correct_sampling,4,1,0,bench_out_4816/theta_732d6f38.pt,bench_out_4816/iter_732d6f38.csv
608ae1c3,tr_correct_sampling,4,1,1,bench_out_4816/theta_608ae1c3.pt,bench_out_4816/iter_608ae1c3.csv
69209ec3,tr_correct_sampling,4,1,2,bench_out_4816/theta_69209ec3.pt,bench_out_4816/iter_69209ec3.csv
9f7c40ed,tr_correct_sampling,4,3,0,bench_out_4816/theta_9f7c40ed.pt,bench_out_4816/iter_9f7c40ed.csv
e784f24a,tr_correct_sampling,4,3,1,bench_out_4816/theta_e784f24a.pt,bench_out_4816/iter_e784f24a.csv
c176debf,tr_correct_sampling,4,3,2,bench_out_4816/theta_c176debf.pt,bench_out_4816/iter_c176debf.csv
14665ccf,tr_correct_sampling,4,5,0,bench_out_4816/theta_14665ccf.pt,bench_out_4816/iter_14665ccf.csv
940a5aba,tr_correct_sampling,4,5,1,bench_out_4816/theta_940a5aba.pt,bench_out_4816/iter_940a5aba.csv
9170bf80,tr_correct_sampling,4,5,2,bench_out_4816/theta_9170bf80.pt,bench_out_4816/iter_9170bf80.csv
8edde546,tr_efficient,4,1,0,bench_out_4816/theta_8edde546.pt,bench_out_4816/iter_8edde546.csv
0b3da6fb,tr_efficient,4,1,1,bench_out_4816/theta_0b3da6fb.pt,bench_out_4816/iter_0b3da6fb.csv
15df7253,tr_efficient,4,1,2,bench_out_4816/theta_15df7253.pt,bench_out_4816/iter_15df7253.csv
fffcda9f,tr_efficient,4,3,0,bench_out_4816/theta_fffcda9f.pt,bench_out_4816/iter_fffcda9f.csv
af40b04c,tr_efficient,4,3,1,bench_out_4816/theta_af40b04c.pt,bench_out_4816/iter_af40b04c.csv
e5565fad,tr_efficient,4,3,2,bench_out_4816/theta_e5565fad.pt,bench_out_4816/iter_e5565fad.csv
30a7bd1a,tr_efficient,4,5,0,bench_out_4816/theta_30a7bd1a.pt,bench_out_4816/iter_30a7bd1a.csv
a59f97aa,tr_efficient,4,5,1,bench_out_4816/theta_a59f97aa.pt,bench_out_4816/iter_a59f97aa.csv
e47fdaed,tr_efficient,4,5,2,bench_out_4816/theta_e47fdaed.pt,bench_out_4816/iter_e47fdaed.csv
4f570b59,tr_correct_sampling,8,1,0,bench_out_4816/theta_4f570b59.pt,bench_out_4816/iter_4f570b59.csv
6c673097,tr_efficient,8,1,0,bench_out_4816/theta_6c673097.pt,bench_out_4816/iter_6c673097.csv
1ebc1a4c,tr_correct_sampling,8,1,1,bench_out_4816/theta_1ebc1a4c.pt,bench_out_4816/iter_1ebc1a4c.csv
797aa5b0,tr_efficient,8,1,1,bench_out_4816/theta_797aa5b0.pt,bench_out_4816/iter_797aa5b0.csv
ed41a9e1,tr_correct_sampling,8,1,2,bench_out_4816/theta_ed41a9e1.pt,bench_out_4816/iter_ed41a9e1.csv
35440527,tr_efficient,8,1,2,bench_out_4816/theta_35440527.pt,bench_out_4816/iter_35440527.csv
7206304a,tr_correct_sampling,8,3,0,bench_out_4816/theta_7206304a.pt,bench_out_4816/iter_7206304a.csv
838428a4,tr_efficient,8,3,0,bench_out_4816/theta_838428a4.pt,bench_out_4816/iter_838428a4.csv
efd3b199,tr_correct_sampling,8,3,1,bench_out_4816/theta_efd3b199.pt,bench_out_4816/iter_efd3b199.csv
418c3689,tr_efficient,8,3,1,bench_out_4816/theta_418c3689.pt,bench_out_4816/iter_418c3689.csv
c524e389,tr_correct_sampling,8,3,2,bench_out_4816/theta_c524e389.pt,bench_out_4816/iter_c524e389.csv
6e0100ac,tr_efficient,8,3,2,bench_out_4816/theta_6e0100ac.pt,bench_out_4816/iter_6e0100ac.csv
4de5792a,tr_correct_sampling,8,5,0,bench_out_4816/theta_4de5792a.pt,bench_out_4816/iter_4de5792a.csv
35bcba89,tr_efficient,8,5,0,bench_out_4816/theta_35bcba89.pt,bench_out_4816/iter_35bcba89.csv
8df68baa,tr_correct_sampling,8,5,1,bench_out_4816/theta_8df68baa.pt,bench_out_4816/iter_8df68baa.csv
7d31188d,tr_efficient,8,5,1,bench_out_4816/theta_7d31188d.pt,bench_out_4816/iter_7d31188d.csv
bdccef8d,tr_correct_sampling,8,5,2,bench_out_4816/theta_bdccef8d.pt,bench_out_4816/iter_bdccef8d.csv
12a1d9d2,tr_efficient,8,5,2,bench_out_4816/theta_12a1d9d2.pt,bench_out_4816/iter_12a1d9d2.csv
