run_id,method,N,depth,seed,theta_path,iter_csv,optimizer_name,shots
a13400a0,tr_correct_sampling,4,5,0,bench_out_shot_diff/theta_a13400a0.pt,bench_out_shot_diff/iter_a13400a0.csv,RMSprop_003,10000
58314b98,tr_correct_sampling,4,5,1,bench_out_shot_diff/theta_58314b98.pt,bench_out_shot_diff/iter_58314b98.csv,RMSprop_003,1000
eafab6aa,tr_correct_sampling,4,5,1,bench_out_shot_diff/theta_eafab6aa.pt,bench_out_shot_diff/iter_eafab6aa.csv,RMSprop_003,10000
7c4abd90,tr_correct_sampling,4,5,2,bench_out_shot_diff/theta_7c4abd90.pt,bench_out_shot_diff/iter_7c4abd90.csv,RMSprop_003,1000
5e02882a,tr_correct_sampling,4,5,2,bench_out_shot_diff/theta_5e02882a.pt,bench_out_shot_diff/iter_5e02882a.csv,RMSprop_003,10000
267a35bd,tr_correct_sampling,4,6,0,bench_out_shot_diff/theta_267a35bd.pt,bench_out_shot_diff/iter_267a35bd.csv,RMSprop_003,1000
4c32265c,tr_correct_sampling,4,6,0,bench_out_shot_diff/theta_4c32265c.pt,bench_out_shot_diff/iter_4c32265c.csv,RMSprop_003,10000
f728332e,tr_correct_sampling,4,6,1,bench_out_shot_diff/theta_f728332e.pt,bench_out_shot_diff/iter_f728332e.csv,RMSprop_003,1000
e4d789cf,tr_correct_sampling,4,6,1,bench_out_shot_diff/theta_e4d789cf.pt,bench_out_shot_diff/iter_e4d789cf.csv,RMSprop_003,10000
7d8ae2cb,tr_correct_sampling,4,6,2,bench_out_shot_diff/theta_7d8ae2cb.pt,bench_out_shot_diff/iter_7d8ae2cb.csv,RMSprop_003,1000
275b40c0,tr_correct_sampling,4,6,2,bench_out_shot_diff/theta_275b40c0.pt,bench_out_shot_diff/iter_275b40c0.csv,RMSprop_003,10000
13433bb3,tr_efficient,4,1,0,bench_out_shot_diff/theta_13433bb3.pt,bench_out_shot_diff/iter_13433bb3.csv,RMSprop_003,0
97c0c314,tr_efficient,4,1,1,bench_out_shot_diff/theta_97c0c314.pt,bench_out_shot_diff/iter_97c0c314.csv,RMSprop_003,0
415e9d32,tr_efficient,4,1,2,bench_out_shot_diff/theta_415e9d32.pt,bench_out_shot_diff/iter_415e9d32.csv,RMSprop_003,0
